50
   0    5  83
   0    8  79
   0   11  93
   0   12  98
   0   19  19
   0   21  89
   0   32  21
   0   47  53
   1    3  58
   1    5  85
   1    7  37
   1    9  97
   1   13  15
   1   14  11
   1   24  53
   1   25  13
   1   27  94
   1   29  29
   1   37  85
   1   46  96
   2    8  55
   2   10  11
   2   23  47
   2   24  89
   2   29  22
   2   36  76
   2   37  91
   2   40  11
   2   44  89
   3    6  14
   3    8  87
   3   16  90
   3   28  24
   3   30   8
   3   32  21
   3   33  28
   3   34  69
   3   42  71
   3   45  41
   3   48  52
   4    6   8
   4   17  89
   4   18  89
   4   19  89
   4   21  12
   4   24  12
   4   25  28
   4   28  98
   4   32  38
   4   33  51
   4   36  28
   4   41  31
   4   44   4
   4   47  30
   5    6  97
   5    7  15
   5   10  57
   5   12   8
   5   14  74
   5   16  98
   5   17  66
   5   18  35
   5   19   7
   5   21  25
   5   24  47
   5   28  42
   5   35  39
   5   36  74
   5   41  34
   5   43  92
   5   46  39
   6    7  49
   6   15  98
   6   18  85
   6   21  61
   6   22  41
   6   23  69
   6   36   9
   6   38  68
   6   42  71
   6   43  36
   6   45  48
   6   47  27
   6   48  47
   7   11  22
   7   18  36
   7   19  68
   7   25  38
   7   29   1
   7   30   5
   7   32   3
   7   34  66
   7   37  64
   7   41  37
   7   43  79
   7   44  21
   7   48  64
   7   49  54
   8   15  19
   8   16  89
   8   18  44
   8   19  19
   8   22  33
   8   23  47
   8   24  32
   8   25  91
   8   27  59
   8   29  12
   8   32  79
   8   33  16
   8   34  93
   8   44  16
   9   10  99
   9   11  31
   9   16  69
   9   22  29
   9   23  38
   9   24  57
   9   26  72
   9   29  96
   9   33  29
   9   39  96
   9   40   9
   9   47  90
   9   49  84
  10   13  13
  10   15  10
  10   19  38
  10   22  17
  10   24  77
  10   30  36
  10   34  49
  10   35  60
  10   39  97
  10   42  54
  10   44  87
  11   14  78
  11   24  13
  11   28  70
  11   31  57
  11   34   5
  11   38  93
  11   39  99
  11   41  63
  11   45  38
  11   48  83
  12   17  89
  12   18  52
  12   20  57
  12   21  51
  12   27  99
  12   30   3
  12   34  18
  12   35   8
  12   41  34
  12   43  86
  12   45  36
  13   15  20
  13   16  33
  13   28   5
  13   30  90
  13   35  63
  13   37  44
  13   41  73
  13   45  74
  14   16  54
  14   26  59
  14   27  35
  14   28   3
  14   31  54
  14   34  84
  14   37  55
  14   41  33
  15   28  58
  15   34  23
  15   40  17
  15   41  99
  15   46  30
  15   49  34
  16   19   8
  16   20   5
  16   24  50
  16   25  82
  16   27   6
  16   28  75
  16   29  70
  16   32  63
  16   33  19
  16   36  12
  16   38  58
  16   41  41
  16   48  46
  16   49   7
  17   18  87
  17   21   1
  17   24  55
  17   25  88
  17   33  29
  17   34  45
  17   36  37
  17   43  12
  17   44  35
  17   45  50
  18   22  89
  18   25 100
  18   27  45
  18   31  74
  18   32   1
  18   33   7
  18   34  18
  18   36  82
  18   37  21
  18   39  97
  18   40  11
  18   41  65
  18   43  65
  18   44   2
  18   46  98
  19   21  49
  19   24  30
  19   25  31
  19   29  33
  19   35  92
  19   36  22
  19   39  22
  19   44   4
  19   46  89
  20   23  90
  20   25  20
  20   28  15
  20   37  94
  20   38  75
  20   46  69
  21   22  43
  21   30  75
  21   31  82
  21   38  72
  21   39  23
  21   44   8
  21   46  33
  21   49  68
  22   25  40
  22   29  12
  22   38  41
  22   45  27
  22   47  87
  22   48  48
  23   26  81
  23   27  81
  23   30  17
  23   31  51
  23   32  64
  23   33  13
  23   34  48
  23   39   9
  23   41  70
  23   44  45
  23   45  56
  23   46   5
  23   47  96
  24   26  55
  24   28  71
  24   29  32
  24   31  80
  24   32  98
  24   33  89
  24   37  47
  24   42  58
  24   43  10
  24   44  25
  25   33   2
  25   35  60
  25   37  86
  26   29  90
  26   37  98
  26   40  33
  26   41  94
  26   43  79
  26   45  13
  26   48  23
  26   49  56
  27   28  99
  27   29   4
  27   45  70
  27   46  13
  28   36  38
  28   37  64
  28   40  79
  28   41  61
  28   43 100
  28   44  79
  28   48  90
  28   49   4
  29   33  25
  29   34  28
  29   35  34
  29   39  80
  29   42  54
  29   43  32
  29   47  20
  29   48  12
  30   32  92
  30   36  59
  30   42  52
  30   49  84
  31   36   8
  31   38  69
  31   41  16
  31   42  78
  31   44  71
  31   48  17
  31   49  43
  32   33  55
  32   39  65
  33   36  23
  33   37  11
  33   39  63
  33   41  57
  33   43   2
  33   47  79
  33   49  26
  34   35  62
  34   36  64
  34   38  19
  34   41  60
  34   44  34
  35   40  24
  35   45  41
  36   38  23
  36   40  35
  36   41  36
  36   42  12
  36   43  44
  37   41  86
  37   42  42
  37   44  83
  38   40  76
  38   42  63
  38   44  67
  38   46   9
  39   41   4
  40   42  35
  40   43  62
  41   43  70
  42   43  27
  42   46  79
  42   48  68
  43   46  60
  43   48  35
  44   45  38
  44   47  23
  45   47   4
  45   48  60
