30
   0    1  57
   0    2  33
   0    3  97
   0    7  55
   0   16  25
   0   17  60
   0   19  10
   0   23  64
   1    2   9
   1    5  19
   1    7  63
   1    8  22
   1   12   8
   1   13  94
   1   15  79
   1   16  47
   2    4  74
   2    5  85
   2    7  31
   2    9  39
   2   13  81
   2   17   4
   2   21  91
   2   25  40
   2   28  25
   2   29  59
   3   11  51
   3   16  12
   3   19  51
   3   22  90
   3   24  89
   3   27   4
   4    7  95
   4    9   2
   4   27  29
   5   14  84
   5   18  62
   5   25  61
   5   28  48
   6   10  19
   6   13  33
   6   17  58
   6   20   5
   6   21  25
   6   22  88
   6   24  63
   6   27   5
   7    9  95
   7   14  59
   7   20  73
   7   23   2
   7   25  41
   7   26  77
   8   14  97
   8   17  76
   8   18  63
   8   23  58
   8   24  82
   9   14   7
   9   16  96
   9   23 100
   9   24  91
   9   26  88
  10   16  88
  10   17  15
  10   22  69
  10   25  28
  10   26  19
  10   28  37
  11   17   9
  11   19  32
  11   22  65
  11   24  13
  11   25  34
  11   26  79
  12   13  23
  12   24  37
  12   28   3
  13   19  69
  13   21  20
  13   23  94
  13   25  90
  13   28  72
  14   15  11
  14   21  19
  14   24  40
  14   25  12
  15   17  33
  15   19  36
  15   23   5
  15   27  77
  15   29  38
  16   20   9
  16   22  72
  16   25  63
  16   27  95
  17   20  46
  17   29  20
  18   20  55
  18   24  51
  18   27  37
  19   23  28
  19   25  98
  19   26  92
  19   27  10
  20   21  53
  20   23  23
  20   25   1
  20   28  70
  21   29  82
  22   24  31
  22   25  16
  23   25  77
  23   27  39
  24   28  67
