50
   0    1  57
   0    3  47
   0    9  31
   0   10  44
   0   11  30
   0   12  26
   0   14  69
   0   15  28
   0   17  79
   0   21   5
   0   22  35
   0   23  32
   0   24  73
   0   25  39
   0   26  78
   0   27   2
   0   29  40
   0   37  80
   0   40  63
   0   41   3
   0   42  69
   0   46  23
   1    7   3
   1   12  39
   1   15  97
   1   17  53
   1   20  35
   1   23  66
   1   24  70
   1   26  74
   1   27  85
   1   30  93
   1   34  80
   1   35  95
   1   36  59
   1   37  15
   1   39   8
   1   40  70
   1   42  79
   1   43  42
   1   45  69
   1   48  85
   2    9  56
   2   10   8
   2   11  30
   2   12  30
   2   14  65
   2   16  72
   2   17  46
   2   19  23
   2   21  57
   2   23  29
   2   27  44
   2   28  90
   2   30  98
   2   37  61
   2   39  28
   2   43  37
   2   44  58
   2   45   8
   2   46  64
   2   47  83
   2   48  54
   2   49  27
   3    4  51
   3    6  61
   3    8  36
   3   10  48
   3   15  69
   3   16  52
   3   17  21
   3   18  61
   3   19  46
   3   24  61
   3   25  16
   3   26   4
   3   29  63
   3   30  53
   3   31  62
   3   35  53
   3   36  86
   3   41  12
   3   42  10
   3   44  75
   3   45  93
   3   49  29
   4    5  80
   4    7  89
   4    8  90
   4   11  26
   4   14  85
   4   15  97
   4   16  91
   4   18  89
   4   20  95
   4   22  41
   4   23  94
   4   27  73
   4   28 100
   4   29  86
   4   34  45
   4   38  24
   4   40  12
   4   44  31
   4   47  66
   4   48  48
   5    9  98
   5   17  49
   5   19  24
   5   21  44
   5   24  88
   5   28  28
   5   32  48
   5   33  72
   5   34  91
   5   37  39
   5   38  69
   5   40  95
   5   41  57
   5   44  30
   6    7  21
   6    9  15
   6   10  84
   6   11  29
   6   14  27
   6   21  49
   6   25  70
   6   27  94
   6   32  14
   6   33  92
   6   36  23
   6   41 100
   6   44  11
   6   45  24
   6   48  72
   6   49  91
   7    8  32
   7   13  94
   7   14  56
   7   19  26
   7   20   6
   7   23  37
   7   24  44
   7   25  84
   7   27   8
   7   29  24
   7   31  18
   7   32  80
   7   33  27
   7   34  31
   7   37  68
   7   42   8
   7   43   3
   7   46  76
   7   47  32
   8   10  89
   8   13  23
   8   22  26
   8   23  66
   8   25  19
   8   28   9
   8   29  29
   8   35  25
   8   40  23
   8   41  97
   8   44  83
   8   46  48
   9   11  32
   9   12  49
   9   13  30
   9   14  53
   9   16  81
